,Y_validation,date,lpred
0,317.66,2016-02-26,321.8223168945451
1,208.69,2016-02-29,207.2270344196068
2,335.07,2016-03-01,336.08471189025
3,219.99,2016-03-02,220.26089901778275
4,28.25,2016-03-03,28.04983272596523
5,32.6,2016-03-04,33.177495130082505
6,25.52,2016-03-07,25.19460850613855
7,225.33,2016-03-08,225.96971188055176
8,351.09,2016-03-09,357.07208301348476
9,29.39,2016-03-10,29.340006373734106
10,327.17,2016-03-11,326.13468934680645
11,30.08,2016-03-14,29.3992495570038
12,205.98,2016-03-15,206.18701595697812
13,229.59,2016-03-16,227.64648678224262
14,207.85,2016-03-17,205.96300364186948
15,350.02,2016-03-18,347.73391741972756
16,283.46,2016-03-21,282.1303946982032
17,204.88,2016-03-22,205.0965600468569
18,213.79,2016-03-23,213.69954689216985
19,29.33,2016-03-24,29.460206380146985
20,316.53,2016-03-28,320.76296290363916
21,219.56,2016-03-29,218.47825276200302
22,328.98,2016-03-30,327.3917420205763
23,315.4,2016-03-31,313.1859738375208
24,306.11,2016-04-01,307.3933319197889
25,304.18,2016-04-04,295.52549445260644
26,369.8,2016-04-05,371.10642494636875
27,32.37,2016-04-06,31.726457723437107
28,100.65,2016-04-07,102.49475113997778
29,34.59,2016-04-08,34.92368015811782
30,215.15,2016-04-11,214.76893916014438
31,31.07,2016-04-12,31.20032794361061
32,245.62,2016-04-13,245.56105953835856
33,270.13,2016-04-14,266.9201583188545
34,385.0,2016-04-15,385.6866788967792
35,308.74,2016-04-18,306.24149290370906
36,284.12,2016-04-19,282.50849303645725
37,15.8,2016-04-20,15.692621760431095
38,33.12,2016-04-21,33.16528808224517
39,28.73,2016-04-22,29.182056075135634
40,248.44,2016-04-25,247.3130684266568
41,223.43,2016-04-26,222.54960417337008
42,256.76,2016-04-27,253.37463722025922
43,25.85,2016-04-28,26.580458203741372
44,343.75,2016-04-29,344.9402916374889
45,26.77,2016-05-02,27.01627010752663
46,36.62,2016-05-03,36.72359541517011
47,284.45,2016-05-04,282.1785508458414
48,269.2,2016-05-05,270.4142261507538
49,254.34,2016-05-06,255.93242907657884
50,215.26,2016-05-09,214.27263604157173
51,94.84,2016-05-10,96.01287883399235
52,175.23,2016-05-11,176.27531057926663
53,83.24,2016-05-12,86.04163547188305
54,32.31,2016-05-13,31.270519502007645
55,336.41,2016-05-16,333.238341950219
56,38.45,2016-05-17,38.78643176857972
57,28.69,2016-05-18,29.00536265622121
58,33.53,2016-05-19,33.6393206012268
59,268.26,2016-05-20,269.71412625189714
60,298.52,2016-05-23,295.7683938757289
61,214.96,2016-05-24,216.8944984148947
62,361.61,2016-05-25,363.40314849628487
63,31.94,2016-05-26,32.0090101216752
64,241.46,2016-05-27,238.4670132988415
65,31.31,2016-05-31,31.663962341818504
66,199.37,2016-06-01,200.01628376559367
67,228.92,2016-06-02,227.42022474922157
68,222.53,2016-06-03,221.24692143136727
69,29.95,2016-06-06,29.9184299888498
70,26.62,2016-06-07,26.255508287223265
71,30.39,2016-06-08,30.25518661898029
72,24.65,2016-06-09,24.62552136653325
73,246.15,2016-06-10,245.78965222320437
74,241.49,2016-06-13,244.8285572747152
75,219.61,2016-06-14,220.70551437069958
76,337.95,2016-06-15,341.73549668307527
77,30.14,2016-06-16,30.084404835617505
78,251.21,2016-06-17,250.49934539522746
79,239.49,2016-06-20,240.8813760010451
80,325.89,2016-06-21,319.9922915797705
81,33.75,2016-06-22,33.687740851254986
82,203.99,2016-06-23,202.76674168370067
83,331.53,2016-06-24,330.2062449301502
84,305.52,2016-06-27,305.92250627707256
85,198.3,2016-06-28,199.91528488551768
86,34.4,2016-06-29,34.41251248139628
87,323.1,2016-06-30,321.8859623323475
88,199.11,2016-07-01,195.03760925824224
89,168.94,2016-07-05,168.18004783880542
90,32.66,2016-07-06,32.23117093060267
91,309.1,2016-07-07,313.06076896447973
92,291.72,2016-07-08,291.5388700137286
93,95.37,2016-07-11,93.61727622574246
94,329.52,2016-07-12,327.5538625058556
95,311.24,2016-07-13,316.33425311291705
96,262.01,2016-07-14,259.49834269042526
97,259.94,2016-07-15,263.7905253405178
98,342.85,2016-07-18,339.68453898777443
99,26.5,2016-07-19,26.470150644996693
100,138.7,2016-07-20,138.88644017702353
101,248.48,2016-07-21,248.32780177878027
102,33.26,2016-07-22,33.220863475248166
103,30.31,2016-07-25,30.05023935277289
104,204.11,2016-07-26,203.096184262115
105,19.9,2016-07-27,19.368538739347812
106,120.5,2016-07-28,119.55404603011172
107,345.0,2016-07-29,342.71893128082115
108,254.96,2016-08-01,256.50034680006985
109,23.04,2016-08-02,23.32229009820341
110,35.16,2016-08-03,35.60018248069487
111,20.1,2016-08-04,19.95833118412869
112,226.25,2016-08-05,224.85712428083752
113,26.39,2016-08-08,26.077966330507174
114,230.13,2016-08-09,228.0504302424447
115,171.54,2016-08-10,173.43546782298006
116,36.01,2016-08-11,35.908714425012974
117,360.75,2016-08-12,357.4772851504688
118,203.52,2016-08-15,207.1993821680758
119,235.84,2016-08-16,234.8732227591389
120,29.25,2016-08-17,29.151610898752928
121,37.51,2016-08-18,37.18388802387773
122,19.1,2016-08-19,18.911336129785866
123,34.18,2016-08-22,33.532680481815675
124,27.67,2016-08-23,27.3425441151865
125,28.53,2016-08-24,28.503589497248967
126,214.68,2016-08-25,215.2995388255967
127,366.23,2016-08-26,363.5818824946097
128,28.64,2016-08-29,28.54553508981831
129,94.47,2016-08-30,95.16325988739064
130,260.41,2016-08-31,262.11491190189076
131,355.68,2016-09-01,358.06450266645965
