Date,Close-1,Close-2,Close-3,Open-1,High-1,Low-1,Volume-1,Close
20121217,33.810001,33.610001,35.259998,33.78,34.4,33.59,1023000,34.400002
20121218,34.400002,33.810001,33.610001,33.77,34.5,33.75,824900,34.59
20121219,34.59,34.400002,33.810001,34.259998,35.07,34.259998,1553900,34.610001
20121220,34.610001,34.59,34.400002,34.75,35.259998,34.52,1298800,34.43
20121221,34.43,34.610001,34.59,34.509998,34.790001,34.049999,921200,34
20121224,34,34.43,34.610001,33.939999,34.169998,33.580002,1492400,34.279999
20121226,34.279999,34,34.43,33.639999,34.349998,33.549999,375800,33.59
20121227,33.59,34.279999,34,33.959999,34.5,33.5,601400,33.689999
20121228,33.689999,33.59,34.279999,33.5,33.91,33,561100,33.220001
20121231,33.220001,33.689999,33.59,33.380001,33.650002,33.02,414100,33.869999
20130102,33.869999,33.220001,33.689999,33,33.970001,33,594900,35.360001
20130103,35.360001,33.869999,33.220001,35,35.450001,34.709999,1194800,34.77
20130104,34.77,35.360001,33.869999,35.18,35.450001,34.75,742000,34.400002
20130107,34.400002,34.77,35.360001,34.799999,34.799999,33.919998,674000,34.34
20130108,34.34,34.400002,34.77,34.799999,34.799999,33.900002,442000,33.68
20130109,33.68,34.34,34.400002,34.5,34.5,33.110001,1284000,33.639999
20130110,33.639999,33.68,34.34,34.009998,34.189999,33.400002,698000,33.529999
20130111,33.529999,33.639999,33.68,33.869999,33.990002,33.380001,922500,32.91
20130114,32.91,33.529999,33.639999,34.040001,34.040001,32.110001,1563200,33.259998
20130115,33.259998,32.91,33.529999,33.080002,33.380001,32.849998,925100,33.900002
20130116,33.900002,33.259998,32.91,33.110001,34.25,33.080002,1624200,34.099998
20130117,34.099998,33.900002,33.259998,33.849998,34.23,33.73,1378200,34.380001
20130118,34.380001,34.099998,33.900002,34.16,34.849998,33.919998,1436700,34.52
20130122,34.52,34.380001,34.099998,34.740002,34.779999,33.82,3555100,35.189999
20130123,35.189999,34.52,34.380001,34.560001,35.549999,34.259998,1920200,36
20130124,36,35.189999,34.52,35.02,36.240002,34.959999,1564300,36.990002
20130125,36.990002,36,35.189999,36,37.720001,35.84,1970400,36.98
20130128,36.98,36.990002,36,37,37.540001,36.799999,1287800,38.029999
20130129,38.029999,36.98,36.990002,36.860001,38.709999,36.860001,1986000,37.950001
20130130,37.950001,38.029999,36.98,38.099998,38.439999,37.130001,1426600,37.52
20130131,37.52,37.950001,38.029999,37.849998,38,37.43,968100,37.509998
20130201,37.509998,37.52,37.950001,37.869999,37.869999,36.93,901400,38.299999
20130204,38.299999,37.509998,37.52,38.169998,38.5,37.619999,1100600,37.740002
20130205,37.740002,38.299999,37.509998,38.400002,38.419998,37.59,1128000,38.130001
20130206,38.130001,37.740002,38.299999,38,38.650002,37.68,1310200,39.169998
20130207,39.169998,38.130001,37.740002,38.18,39.389999,37.900002,1893200,39.48
20130208,39.48,39.169998,38.130001,39.189999,39.68,38.950001,1196600,39.240002
20130211,39.240002,39.48,39.169998,39.450001,40,39.139999,1139800,38.419998
20130212,38.419998,39.240002,39.48,37.98,39.150002,37.5,3266300,37.889999
20130213,37.889999,38.419998,39.240002,38.450001,38.869999,37.290001,2261300,38.450001
20130214,38.450001,37.889999,38.419998,38.299999,39,38.049999,966800,38.27
20130215,38.27,38.450001,37.889999,38.639999,38.75,38.209999,990700,37.040001
20130219,37.040001,38.27,38.450001,38.5,38.509998,36.950001,2017600,39.279999
20130220,39.279999,37.040001,38.27,37.360001,39.290001,37.310001,2701400,38.540001
20130221,38.540001,39.279999,37.040001,39.299999,39.650002,38.459999,3122000,35.16
20130222,35.16,38.540001,39.279999,36.490002,37.389999,34.540001,9037800,36.110001
20130225,36.110001,35.16,38.540001,35.720001,36.389999,35.599998,2547300,34.380001
20130226,34.380001,36.110001,35.16,36.150002,36.75,34.34,2889400,34.43
20130227,34.43,34.380001,36.110001,34.459999,34.959999,33.799999,2762900,35.099998
20130228,35.099998,34.43,34.380001,34.41,35.41,34.400002,1959200,34.830002
20130301,34.830002,35.099998,34.43,35.889999,36.099998,34.369999,1964900,34.650002
20130304,34.650002,34.830002,35.099998,35,35.080002,34.25,1546600,35.580002
20130305,35.580002,34.650002,34.830002,34.77,35.830002,34.700001,1757700,36.650002
20130306,36.650002,35.580002,34.650002,36,36.919998,35.790001,2087000,37.689999
20130307,37.689999,36.650002,35.580002,37.009998,37.880001,36.970001,1150000,38.23
20130308,38.23,37.689999,36.650002,37.73,38.650002,36.880001,1158300,38.470001
20130311,38.470001,38.23,37.689999,38.060001,39.439999,37.360001,912100,39.099998
20130312,39.099998,38.470001,38.23,38.869999,39.439999,38.650002,1579500,39.119999
20130313,39.119999,39.099998,38.470001,38.900002,39.380001,38.849998,1275100,38.98
20130314,38.98,39.119999,39.099998,39,39.490002,38.810001,822000,36.849998
20130315,36.849998,38.98,39.119999,38.900002,38.91,36.77,2021000,35.290001
20130318,35.290001,36.849998,38.98,36.639999,36.650002,35.209999,3279600,35.150002
20130319,35.150002,35.290001,36.849998,35.299999,36.060001,34.919998,1316100,35.080002
20130320,35.080002,35.150002,35.290001,35.25,35.599998,34.939999,1098500,35.950001
20130321,35.950001,35.080002,35.150002,35.259998,36.07,35.16,1423000,36.009998
20130322,36.009998,35.950001,35.080002,35.950001,37.060001,35.740002,1146300,36.619999
20130325,36.619999,36.009998,35.950001,36.200001,36.799999,36.200001,440200,37.529999
20130326,37.529999,36.619999,36.009998,37.099998,38.52,36.77,2378800,37.860001
20130327,37.860001,37.529999,36.619999,37.98,38.220001,37.66,1808200,38.16
20130328,38.16,37.860001,37.529999,37.939999,38.380001,37.310001,1296300,37.889999
20130401,37.889999,38.16,37.860001,38.23,38.240002,37.75,1158700,43.93
